Date,Interest Level,Min-Max
2016-05-01,2822436.5860629263,0.05916748266486275
2016-06-01,2002126.3087777907,0.035972177527787835
2016-07-01,1503048.8055311176,0.02186013322527297
2016-08-01,1699989.805283951,0.027428887768231987
2016-09-01,1798747.3983600002,0.030221382961128123
2016-10-01,1954476.5598448943,0.03462482092772007
2016-11-01,2036483.6557333337,0.03694367473854039
2016-12-01,1662366.9790389528,0.02636505502221295
2017-01-01,2428495.81457054,0.04802831172707816
2017-02-01,2819446.421865703,0.059082932010207916
2017-03-01,2909581.818950901,0.06163162376372577
2017-04-01,1988336.883042323,0.035582264166397586
2017-05-01,2038299.2493769727,0.03699501293304469
2017-06-01,729957.3613124609,0.0
2017-07-01,740891.1018842298,0.0003091652705987528
2017-08-01,767877.5168133333,0.0010722401048040653
2017-09-01,1871733.9104177775,0.032285168415180754
2017-10-01,1826763.747627724,0.031013580484536493
2017-11-01,2333814.7712086425,0.0453510861061288
2017-12-01,1360622.0878292895,0.017832838592686518
2018-01-01,1456832.8764293427,0.020553319684844206
2018-02-01,2269478.4798825914,0.043531896526261105
2018-03-01,1472836.438948539,0.02100584054943894
2018-04-01,1011813.727453357,0.007969843361102631
2018-05-01,975940.0339646816,0.006955469544383413
2018-06-01,756389.6185093299,0.0007474053271307598
2018-07-01,1246914.6764688902,0.014617618479170143
2018-08-01,1481081.4564,0.021238978791080974
2018-09-01,1965265.8030962967,0.03492990035479083
2018-10-01,1318452.0703200733,0.016640428292770133
2018-11-01,3634450.8055555555,0.08212820633043783
2018-12-01,3454742.3130780226,0.07704672261120947
2019-01-01,2496422.7545553125,0.04994903141522965
2019-02-01,3455036.5401134943,0.07705504225080967
2019-03-01,2303770.3519395315,0.044501542351880544
2019-04-01,1645533.7879653503,0.025889075366472055
2019-05-01,1553915.4300698615,0.023298451030304045
2019-06-01,1236192.5480525077,0.014314436808497932
2019-07-01,1137739.5235331987,0.011530553674726702
2019-08-01,2842967.0559288883,0.059748007530069314
2019-09-01,3356218.515721481,0.07426083828642494
2019-10-01,1372701.0884244526,0.018174387531318587
2019-11-01,3563386.398893827,0.08011877082469321
2019-12-01,1256807.7016182563,0.014897356211858016
2020-01-01,1335211.9351716018,0.01711433455732887
2020-02-01,2553285.9409797085,0.05155690955195788
2020-03-01,1116910.6521726751,0.010941591131837224
2020-04-01,13612930.24343083,0.36428226653745466
2020-05-01,6474047.980413391,0.16242138899686556
2020-06-01,9274706.557256972,0.2416135338151029
2020-07-01,15307823.299407866,0.4122075000700727
2020-08-01,4273788.0885333335,0.10020627236815402
2020-09-01,17135629.715555556,0.46389102608216015
2020-10-01,18311297.408211652,0.49713450922028507
2020-11-01,12351863.250765432,0.32862401074920017
2020-12-01,16996826.105221212,0.4599661793686846
2021-01-01,14085700.957909927,0.37765045329053104
2021-02-01,12062611.475273974,0.3204450528844154
2021-03-01,13116065.134550724,0.3502327804691069
2021-04-01,2975282.6582529815,0.0634893976543776
2021-05-01,36095315.671428755,1.0
2021-06-01,13232773.203144237,0.3535328479410694
2021-07-01,14218270.127954546,0.3813990133611552
